model,real,fake,accuracy,roc_auc_score,log_loss
adversarial_deepfakes,celeba,stargan,0.5021246458923513,0.5028308392401433,1.1725256541182034
adversarial_deepfakes,celeba,attgan,0.49925062447960034,0.49902165902547213,1.1516914694588705
adversarial_deepfakes,celeba,gdwct,0.5034155034155035,0.500941853481206,1.114947844783051
adversarial_deepfakes,ffhq,stylegan,0.495375,0.5021558125,1.1563525345374388
adversarial_deepfakes,ffhq,stylegan2,0.496,0.4969171875,1.1456786093335658
CNNDetection,celeba,stargan,0.19130665722379603,0.0319421023962956,20.619586463977598
CNNDetection,celeba,attgan,0.4218984179850125,0.16100066486365447,17.02190540224137
CNNDetection,celeba,gdwct,0.49851499851499853,0.4521608998888476,16.761461515592757
CNNDetection,ffhq,stylegan,0.492625,0.3487954999999999,16.731231468871776
CNNDetection,ffhq,stylegan2,0.45425,0.27626784374999996,16.919475290989823
patch-forensics,celeba,stargan,0.06223441926345609,0.009624731159065552,1.7111761031306514
patch-forensics,celeba,attgan,0.054621149042464616,0.004531097801512899,1.822355084149315
patch-forensics,celeba,gdwct,0.2044847044847045,0.10313249309388303,1.1390516934312291
patch-forensics,ffhq,stylegan,0.5,0.026948281249999994,3.2362074689583595
patch-forensics,ffhq,stylegan2,0.5,0.19223571875,3.204329616877045
MesoNet,celeba,stargan,0.488314447592068,0.6635233761205049,1.5110787372049308
MesoNet,celeba,attgan,0.48767693588676103,0.6745704835201862,1.4773950913156835
MesoNet,celeba,gdwct,0.5008910008910009,0.5883379177112471,1.911793825871283
MesoNet,ffhq,stylegan,0.455875,0.45309359375,1.8144420756732618
MesoNet,ffhq,stylegan2,0.460125,0.48877318750000004,1.7013556059555766
ClassNSeg,celeba,stargan,0.46839589235127477,0.4479793575554334,0.6947851884910289
ClassNSeg,celeba,attgan,0.4275603663613655,0.4337256976388674,0.6972226587137927
ClassNSeg,celeba,gdwct,0.4575289575289575,0.4406743450402494,0.6961314610924267
ClassNSeg,ffhq,stylegan,0.47,0.27624690625000003,0.8280808481553646
ClassNSeg,ffhq,stylegan2,0.4925,0.28105425,0.8183981901706281
Capsule-Forensics-v2,celeba,stargan,0.5074362606232294,0.6033760321034195,0.716024600773447
Capsule-Forensics-v2,celeba,attgan,0.5297252289758535,0.6780682487047638,0.705296251435719
Capsule-Forensics-v2,celeba,gdwct,0.4829224829224829,0.407833759927612,0.7274640622530772
Capsule-Forensics-v2,ffhq,stylegan,0.587625,0.6018515,0.6789479716392516
Capsule-Forensics-v2,ffhq,stylegan2,0.595375,0.6407846875,0.6752816770911358
Exploiting-Visual-Artifacts/data9_face2face,celeba,stargan,0.49743271954674223,0.5133110118450513,11.096680447412979
Exploiting-Visual-Artifacts/data9_face2face,celeba,attgan,0.5001665278934222,0.537050542810217,11.138113905131506
Exploiting-Visual-Artifacts/data9_face2face,celeba,gdwct,0.5005940005940006,0.5333823658741983,10.942288382163655
Exploiting-Visual-Artifacts/data9_face2face,ffhq,stylegan,0.471375,0.41985975,1.084638064930158
Exploiting-Visual-Artifacts/data9_face2face,ffhq,stylegan2,0.529375,0.650730875,0.9854603515663285
Exploiting-Visual-Artifacts/data9_deepfake,celeba,stargan,0.49796388101983,0.4999099527070678,16.503103586596943
Exploiting-Visual-Artifacts/data9_deepfake,celeba,attgan,0.504496253122398,0.5077408848163582,16.485592962786882
Exploiting-Visual-Artifacts/data9_deepfake,celeba,gdwct,0.5050490050490051,0.5102016999848897,16.392348673788913
Exploiting-Visual-Artifacts/data9_deepfake,ffhq,stylegan,0.50775,0.4374693125,13.492165853232871
Exploiting-Visual-Artifacts/data9_deepfake,ffhq,stylegan2,0.50125,0.45394525,13.502642741170478
CVPRW2019_Face_Artifacts,celeba,stargan,0.49822946175637395,0.5153461120133779,11.352717344985212
CVPRW2019_Face_Artifacts,celeba,attgan,0.5020815986677769,0.5627698538755865,11.401689968676365
CVPRW2019_Face_Artifacts,celeba,gdwct,0.4838134838134838,0.49399070575191745,11.717470791930197
CVPRW2019_Face_Artifacts,ffhq,stylegan,0.502875,0.45205418750000004,3.00710519343136
CVPRW2019_Face_Artifacts,ffhq,stylegan2,0.50625,0.784732,2.994681587027046
headpose_forensic,celeba,stargan,0.49955736543909346,0.5100078671083148,11.008132246973569
headpose_forensic,celeba,attgan,0.5094920899250625,0.5438333306757275,10.972573265853987
headpose_forensic,celeba,gdwct,0.5031185031185031,0.52127618566585,11.20466672265707
headpose_forensic,ffhq,stylegan,0.51975,0.48739706250000003,1.2002620828218733
headpose_forensic,ffhq,stylegan2,0.5215,0.4421743125,1.203472054190763
