model,real,fake,accuracy,roc_auc_score,log_loss
adversarial_deepfakes,real_fulls,smartz_849705,0.4925,0.480676,2.92516735165341
adversarial_deepfakes,real_fulls,joshhu_853266,0.511,0.4965415,2.87613333660902
adversarial_deepfakes,real_fulls,yuejiang_852934,0.5105,0.4905055,2.8825604845132524
adversarial_deepfakes,real_fulls,yangquanwei_852303,0.504,0.49937699999999996,2.8578760872290245
adversarial_deepfakes,real_fulls,miaotao_853000,0.5055,0.5016245000000001,2.8968919078175084
adversarial_deepfakes,real_fulls,nbhh_853436,0.511,0.49549850000000006,2.8656301482912325
adversarial_deepfakes,real_fulls,seanseattle_853068,0.507,0.4948950000000001,2.882517057032803
adversarial_deepfakes,real_fulls,DFischerHDA_852673,0.499,0.49551850000000003,2.9185748701012773
adversarial_deepfakes,real_fulls,DFGC_SYSU_852924,0.505,0.5001730000000001,2.9445613459481783
adversarial_deepfakes,real_fulls,fake_baseline,0.51,0.4983485000000001,2.9109844407083987
adversarial_deepfakes,real_fulls,zhaobh_852336,0.5025,0.4938484999999999,2.888899130277292
adversarial_deepfakes,real_fulls,lowtec_853184,0.512,0.5071075,2.8717793991162823
adversarial_deepfakes,real_fulls,yZzzzzz_849853,0.5105,0.5009975,2.8746693126487743
adversarial_deepfakes,real_fulls,jerryHUST_853638,0.5105,0.49842800000000004,2.8983956086602403
adversarial_deepfakes,real_fulls,zz110_853170,0.498,0.4913285,2.942549199938726
adversarial_deepfakes,real_fulls,wany_853175,0.493,0.487246,2.871072567625433
adversarial_deepfakes,real_fulls,ctmiu_853213,0.5195,0.508372,2.817889895936296
CNNDetection,real_fulls,smartz_849705,0.251,0.02983650000000001,17.095693118664116
CNNDetection,real_fulls,joshhu_853266,0.4985,0.3902964999999999,15.606803357857642
CNNDetection,real_fulls,yuejiang_852934,0.5005,0.5292195,15.599230250215557
CNNDetection,real_fulls,yangquanwei_852303,0.5,0.48429949999999994,15.600775446148221
CNNDetection,real_fulls,miaotao_853000,0.5005,0.4670809999999999,15.601133171620457
CNNDetection,real_fulls,nbhh_853436,0.499,0.42915149999999996,15.602933902037474
CNNDetection,real_fulls,seanseattle_853068,0.5,0.48452049999999997,15.600973648786564
CNNDetection,real_fulls,DFischerHDA_852673,0.5005,0.5032909999999999,15.599473772179863
CNNDetection,real_fulls,DFGC_SYSU_852924,0.5,0.36032549999999997,15.60396630494603
CNNDetection,real_fulls,fake_baseline,0.5005,0.48739449999999995,15.599536637882391
CNNDetection,real_fulls,zhaobh_852336,0.487,0.27693149999999994,15.630986654239345
CNNDetection,real_fulls,lowtec_853184,0.5,0.49769749999999996,15.60019515631778
CNNDetection,real_fulls,yZzzzzz_849853,0.5,0.5028889999999999,15.600227213159227
CNNDetection,real_fulls,jerryHUST_853638,0.5005,0.5013489999999999,15.599733957306963
CNNDetection,real_fulls,zz110_853170,0.5005,0.5109825,15.599515727212387
CNNDetection,real_fulls,wany_853175,0.5005,0.5411159999999999,15.59926682037977
CNNDetection,real_fulls,ctmiu_853213,0.5005,0.5060009999999999,15.599395818054814
patch-forensics,real_fulls,smartz_849705,0.423,0.19845800000000002,1.0626259996933445
patch-forensics,real_fulls,joshhu_853266,0.511,0.5892569999999999,0.9218401205829461
patch-forensics,real_fulls,yuejiang_852934,0.471,0.7037925,0.9124229802524175
patch-forensics,real_fulls,yangquanwei_852303,0.514,0.6142415,0.9152606210548253
